gene_id	GO_terms_en	KEGG_pathways_en
rpmC	ribosomal large subunit assembly (GO:0000027); molecular_function (GO:0003674); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); organelle organization (GO:0006996); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); large ribosomal subunit (GO:0015934); cellular component organization (GO:0016043); protein metabolic process (GO:0019538); cellular component assembly (GO:0022607); ribonucleoprotein complex biogenesis (GO:0022613); protein-RNA complex assembly (GO:0022618); cytosolic large ribosomal subunit (GO:0022625); cytosolic ribosome (GO:0022626); protein-containing complex (GO:0032991); GO:0034622; obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); ribosome biogenesis (GO:0042254); ribosome assembly (GO:0042255); ribosomal large subunit biogenesis (GO:0042273); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); protein-containing complex organization (GO:0043933); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); protein-containing complex assembly (GO:0065003); organelle assembly (GO:0070925); obsolete organic substance metabolic process (GO:0071704); protein-RNA complex organization (GO:0071826); cellular component organization or biogenesis (GO:0071840); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
ABBFA_000441	ribosomal small subunit assembly (GO:0000028); molecular_function (GO:0003674); nucleic acid binding (GO:0003676); RNA binding (GO:0003723); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); binding (GO:0005488); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); organelle organization (GO:0006996); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); small ribosomal subunit (GO:0015935); cellular component organization (GO:0016043); protein metabolic process (GO:0019538); rRNA binding (GO:0019843); cellular component assembly (GO:0022607); ribonucleoprotein complex biogenesis (GO:0022613); protein-RNA complex assembly (GO:0022618); cytosolic ribosome (GO:0022626); cytosolic small ribosomal subunit (GO:0022627); protein-containing complex (GO:0032991); GO:0034622; obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); response to chemical (GO:0042221); ribosome biogenesis (GO:0042254); ribosome assembly (GO:0042255); ribosomal small subunit biogenesis (GO:0042274); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); protein-containing complex organization (GO:0043933); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); response to antibiotic (GO:0046677); response to stimulus (GO:0050896); protein-containing complex assembly (GO:0065003); small ribosomal subunit rRNA binding (GO:0070181); organelle assembly (GO:0070925); obsolete organic substance metabolic process (GO:0071704); protein-RNA complex organization (GO:0071826); cellular component organization or biogenesis (GO:0071840); obsolete organic cyclic compound binding (GO:0097159); heterocyclic compound binding (GO:1901363); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
rplN	molecular_function (GO:0003674); nucleic acid binding (GO:0003676); RNA binding (GO:0003723); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); binding (GO:0005488); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); large ribosomal subunit (GO:0015934); protein metabolic process (GO:0019538); rRNA binding (GO:0019843); cytosolic large ribosomal subunit (GO:0022625); cytosolic ribosome (GO:0022626); protein-containing complex (GO:0032991); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); large ribosomal subunit rRNA binding (GO:0070180); obsolete organic substance metabolic process (GO:0071704); obsolete organic cyclic compound binding (GO:0097159); heterocyclic compound binding (GO:1901363); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
rplX	ribosomal large subunit assembly (GO:0000027); molecular_function (GO:0003674); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); organelle organization (GO:0006996); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); large ribosomal subunit (GO:0015934); cellular component organization (GO:0016043); protein metabolic process (GO:0019538); cellular component assembly (GO:0022607); ribonucleoprotein complex biogenesis (GO:0022613); protein-RNA complex assembly (GO:0022618); cytosolic large ribosomal subunit (GO:0022625); cytosolic ribosome (GO:0022626); protein-containing complex (GO:0032991); GO:0034622; obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); ribosome biogenesis (GO:0042254); ribosome assembly (GO:0042255); ribosomal large subunit biogenesis (GO:0042273); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); protein-containing complex organization (GO:0043933); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); protein-containing complex assembly (GO:0065003); organelle assembly (GO:0070925); obsolete organic substance metabolic process (GO:0071704); protein-RNA complex organization (GO:0071826); cellular component organization or biogenesis (GO:0071840); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
ABBFA_000444	ribosomal large subunit assembly (GO:0000027); molecular_function (GO:0003674); nucleic acid binding (GO:0003676); RNA binding (GO:0003723); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); binding (GO:0005488); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); organelle organization (GO:0006996); 5S rRNA binding (GO:0008097); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); large ribosomal subunit (GO:0015934); cellular component organization (GO:0016043); protein metabolic process (GO:0019538); rRNA binding (GO:0019843); cellular component assembly (GO:0022607); ribonucleoprotein complex biogenesis (GO:0022613); protein-RNA complex assembly (GO:0022618); cytosolic large ribosomal subunit (GO:0022625); cytosolic ribosome (GO:0022626); protein-containing complex (GO:0032991); GO:0034622; obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); ribosome biogenesis (GO:0042254); ribosome assembly (GO:0042255); ribosomal large subunit biogenesis (GO:0042273); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); protein-containing complex organization (GO:0043933); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); protein-containing complex assembly (GO:0065003); organelle assembly (GO:0070925); obsolete organic substance metabolic process (GO:0071704); protein-RNA complex organization (GO:0071826); cellular component organization or biogenesis (GO:0071840); obsolete organic cyclic compound binding (GO:0097159); heterocyclic compound binding (GO:1901363); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
ABBFA_000445	ribosomal small subunit assembly (GO:0000028); molecular_function (GO:0003674); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); organelle organization (GO:0006996); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); small ribosomal subunit (GO:0015935); cellular component organization (GO:0016043); protein metabolic process (GO:0019538); cellular component assembly (GO:0022607); ribonucleoprotein complex biogenesis (GO:0022613); protein-RNA complex assembly (GO:0022618); cytosolic ribosome (GO:0022626); cytosolic small ribosomal subunit (GO:0022627); protein-containing complex (GO:0032991); GO:0034622; obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); ribosome biogenesis (GO:0042254); ribosome assembly (GO:0042255); ribosomal small subunit biogenesis (GO:0042274); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); protein-containing complex organization (GO:0043933); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); protein-containing complex assembly (GO:0065003); organelle assembly (GO:0070925); obsolete organic substance metabolic process (GO:0071704); protein-RNA complex organization (GO:0071826); cellular component organization or biogenesis (GO:0071840); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
ABBFA_000446	ribosomal small subunit assembly (GO:0000028); molecular_function (GO:0003674); nucleic acid binding (GO:0003676); RNA binding (GO:0003723); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); binding (GO:0005488); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); organelle organization (GO:0006996); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); regulation of catabolic process (GO:0009894); cellular process (GO:0009987); gene expression (GO:0010467); regulation of gene expression (GO:0010468); post-transcriptional regulation of gene expression (GO:0010608); small ribosomal subunit (GO:0015935); cellular component organization (GO:0016043); regulation of nucleobase-containing compound metabolic process (GO:0019219); regulation of metabolic process (GO:0019222); protein metabolic process (GO:0019538); rRNA binding (GO:0019843); cellular component assembly (GO:0022607); ribonucleoprotein complex biogenesis (GO:0022613); protein-RNA complex assembly (GO:0022618); cytosolic ribosome (GO:0022626); cytosolic small ribosomal subunit (GO:0022627); obsolete regulation of cellular metabolic process (GO:0031323); obsolete regulation of cellular catabolic process (GO:0031329); protein-containing complex (GO:0032991); GO:0034622; obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); ribosome biogenesis (GO:0042254); ribosome assembly (GO:0042255); ribosomal small subunit biogenesis (GO:0042274); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); regulation of RNA stability (GO:0043487); regulation of mRNA stability (GO:0043488); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); protein-containing complex organization (GO:0043933); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); regulation of biological process (GO:0050789); regulation of cellular process (GO:0050794); obsolete regulation of nitrogen compound metabolic process (GO:0051171); regulation of RNA metabolic process (GO:0051252); regulation of macromolecule metabolic process (GO:0060255); regulation of mRNA catabolic process (GO:0061013); protein-containing complex assembly (GO:0065003); biological regulation (GO:0065007); regulation of biological quality (GO:0065008); organelle assembly (GO:0070925); obsolete organic substance metabolic process (GO:0071704); protein-RNA complex organization (GO:0071826); cellular component organization or biogenesis (GO:0071840); regulation of primary metabolic process (GO:0080090); obsolete organic cyclic compound binding (GO:0097159); heterocyclic compound binding (GO:1901363); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); regulation of mRNA metabolic process (GO:1903311); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
ABBFA_000447	ribosomal large subunit assembly (GO:0000027); cytoplasmic translation (GO:0002181); molecular_function (GO:0003674); nucleic acid binding (GO:0003676); RNA binding (GO:0003723); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); binding (GO:0005488); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); organelle organization (GO:0006996); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); large ribosomal subunit (GO:0015934); cellular component organization (GO:0016043); protein metabolic process (GO:0019538); rRNA binding (GO:0019843); cellular component assembly (GO:0022607); ribonucleoprotein complex biogenesis (GO:0022613); protein-RNA complex assembly (GO:0022618); cytosolic large ribosomal subunit (GO:0022625); cytosolic ribosome (GO:0022626); protein-containing complex (GO:0032991); GO:0034622; obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); ribosome biogenesis (GO:0042254); ribosome assembly (GO:0042255); ribosomal large subunit biogenesis (GO:0042273); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); protein-containing complex organization (GO:0043933); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); protein-containing complex assembly (GO:0065003); large ribosomal subunit rRNA binding (GO:0070180); organelle assembly (GO:0070925); obsolete organic substance metabolic process (GO:0071704); protein-RNA complex organization (GO:0071826); cellular component organization or biogenesis (GO:0071840); obsolete organic cyclic compound binding (GO:0097159); heterocyclic compound binding (GO:1901363); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
rplR	molecular_function (GO:0003674); nucleic acid binding (GO:0003676); RNA binding (GO:0003723); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); binding (GO:0005488); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); 5S rRNA binding (GO:0008097); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); large ribosomal subunit (GO:0015934); protein metabolic process (GO:0019538); rRNA binding (GO:0019843); cytosolic large ribosomal subunit (GO:0022625); cytosolic ribosome (GO:0022626); protein-containing complex (GO:0032991); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); obsolete organic substance metabolic process (GO:0071704); obsolete organic cyclic compound binding (GO:0097159); heterocyclic compound binding (GO:1901363); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
rpsE	ribosomal small subunit assembly (GO:0000028); molecular_function (GO:0003674); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); organelle organization (GO:0006996); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); small ribosomal subunit (GO:0015935); cellular component organization (GO:0016043); protein metabolic process (GO:0019538); cellular component assembly (GO:0022607); ribonucleoprotein complex biogenesis (GO:0022613); protein-RNA complex assembly (GO:0022618); cytosolic ribosome (GO:0022626); cytosolic small ribosomal subunit (GO:0022627); protein-containing complex (GO:0032991); GO:0034622; obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); ribosome biogenesis (GO:0042254); ribosome assembly (GO:0042255); ribosomal small subunit biogenesis (GO:0042274); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); protein-containing complex organization (GO:0043933); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); protein-containing complex assembly (GO:0065003); organelle assembly (GO:0070925); obsolete organic substance metabolic process (GO:0071704); protein-RNA complex organization (GO:0071826); cellular component organization or biogenesis (GO:0071840); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); maintenance of translational fidelity (GO:1990145); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
rpmD	ribosomal large subunit assembly (GO:0000027); molecular_function (GO:0003674); structural constituent of ribosome (GO:0003735); structural molecule activity (GO:0005198); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); ribosome (GO:0005840); translation (GO:0006412); peptide metabolic process (GO:0006518); obsolete nitrogen compound metabolic process (GO:0006807); organelle organization (GO:0006996); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); large ribosomal subunit (GO:0015934); cellular component organization (GO:0016043); protein metabolic process (GO:0019538); cellular component assembly (GO:0022607); ribonucleoprotein complex biogenesis (GO:0022613); protein-RNA complex assembly (GO:0022618); cytosolic large ribosomal subunit (GO:0022625); cytosolic ribosome (GO:0022626); protein-containing complex (GO:0032991); GO:0034622; obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); ribosome biogenesis (GO:0042254); ribosome assembly (GO:0042255); ribosomal large subunit biogenesis (GO:0042273); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); organelle (GO:0043226); membraneless organelle (GO:0043228); intracellular organelle (GO:0043229); intracellular membraneless organelle (GO:0043232); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); protein-containing complex organization (GO:0043933); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); ribosomal subunit (GO:0044391); obsolete organelle part (GO:0044422); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cytosolic part (GO:0044445); obsolete intracellular organelle part (GO:0044446); obsolete cell part (GO:0044464); protein-containing complex assembly (GO:0065003); organelle assembly (GO:0070925); obsolete organic substance metabolic process (GO:0071704); protein-RNA complex organization (GO:0071826); cellular component organization or biogenesis (GO:0071840); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); ribonucleoprotein complex (GO:1990904)	ko03010; Ribosome (map03010)
